treatment_num,salinity_treat,temp_treat,replicate_num,spore_release_date,analysis_date,days_post_release,settled_spore_count,settled_germ_tube_spores,area_um2,settled_spore_density,germ_tube_density,settlement_density_per_um2,settlement_density,view,image,oogonia_count,oogonia_density_per_um2,oogonia_density,gam_count,gam_density_per_um2,gam_density,gam_percent_cover,sex,m_f_ratio,gam_number,gam_size_wrong,gam_size_um2,sporophyte_count,sporophyte_density_per_um2,sporophyte_density,sporophyte_percent_cover,sporophyte_num,sporophyte_size_wrong_um2_next_is_mm2,sporophyte_size_um2,sporophyte_height_mm,blade_num,blade_wet_mass,blade_dry_mass,blade_length_cm,blade_width_cm,blade_thickness_mm,blade_area_cm2,cross_sec_num,cell_type,cell_num,cell_area_wrong,cell_area_um2
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,14,0.00421,0.421,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,15,0.006,0.6,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,16,0.00525,0.525,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,17,0.00278,0.278,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,18,0.00389,0.389,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,19,0.00535,0.535,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,20,0.00436,0.436,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,21,0.00481,0.481,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,22,0.00413,0.413,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-09,9,,,4715.128,,,,,3,IMG_1153,,,,23,0.004877916,4877.916358,0.223281319,,,23,0.00479,0.479,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,1,0.00471,0.471,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,2,0.00433,0.433,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,3,0.00393,0.393,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,4,0.00442,0.442,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,5,0.00419,0.419,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,6,0.00444,0.444,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,1,IMG_1154,,,,21,0.004372108,4372.108033,0.182212807,,,7,0.00438,0.438,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,8,0.00443,0.443,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,9,0.00592,0.592,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,10,0.00374,0.374,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,11,0.00385,0.385,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,12,0.00321,0.321,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,13,0.00312,0.312,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,2,IMG_1155,,,,21,0.004372108,4372.108033,0.182212807,,,14,0.00406,0.406,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,15,0.00306,0.306,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,16,0.00375,0.375,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,17,0.00463,0.463,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,18,0.00402,0.402,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,19,0.00534,0.534,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,20,0.00363,0.363,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-09,9,,,4803.175,,,,,3,IMG_1156,,,,21,0.004372108,4372.108033,0.182212807,,,21,0.00436,0.436,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,1,0.00361,0.361,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,2,0.00557,0.557,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,3,0.00854,0.854,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,4,0.00297,0.297,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,5,0.00678,0.678,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,6,0.00481,0.481,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,7,0.00534,0.534,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,8,0.00325,0.325,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,9,0.00472,0.472,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,1,IMG_1157,,,,59,0.012200847,12200.84661,0.489191911,,,10,0.00284,0.284,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,11,0.00431,0.431,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,12,0.00484,0.484,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,13,0.00325,0.325,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,14,0.00399,0.399,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,15,0.00192,0.192,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,16,0.00297,0.297,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,17,0.00449,0.449,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,18,0.00257,0.257,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,19,0.00352,0.352,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,20,0.0044,0.44,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,21,0.0037,0.37,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,22,0.00501,0.501,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,23,0.00562,0.562,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,24,0.00229,0.229,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,25,0.00268,0.268,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,26,0.00426,0.426,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,27,0.00269,0.269,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,28,0.00563,0.563,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,29,0.00306,0.306,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,30,0.00307,0.307,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,2,IMG_1158,,,,59,0.012200847,12200.84661,0.489191911,,,31,0.00378,0.378,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,32,0.00282,0.282,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,33,0.00258,0.258,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,34,0.00296,0.296,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,35,0.00383,0.383,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,36,0.0039,0.39,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,37,0.00338,0.338,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,38,0.00927,0.927,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,39,0.00488,0.488,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,40,0.00294,0.294,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,41,0.00765,0.765,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,42,0.00308,0.308,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,43,0.00399,0.399,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,44,0.00273,0.273,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,45,0.00412,0.412,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,46,0.00507,0.507,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,47,0.00526,0.526,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,48,0.00252,0.252,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,49,0.00447,0.447,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,50,0.00454,0.454,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,51,0.00308,0.308,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,52,0.00303,0.303,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,53,0.00353,0.353,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,54,0.00352,0.352,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,55,0.00365,0.365,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,56,0.00316,0.316,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,57,0.00304,0.304,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,58,0.00363,0.363,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-09,9,,,4835.73,,,,,3,IMG_1159,,,,59,0.012200847,12200.84661,0.489191911,,,59,0.00345,0.345,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,45421,9,,,4943.54,,,,,1,IMG_1163,,,,37,0.007484515,7484.515145,0.310931033,,,1,0.00674,0.674,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,45421,9,,,4943.54,,,,,1,IMG_1163,,,,37,0.007484515,7484.515145,0.310931033,,,2,0.00169,0.169,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,45421,9,,,4943.54,,,,,1,IMG_1163,,,,37,0.007484515,7484.515145,0.310931033,,,3,0.00259,0.259,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,45421,9,,,4943.54,,,,,1,IMG_1163,,,,37,0.007484515,7484.515145,0.310931033,,,4,0.00381,0.381,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,45421,9,,,4943.54,,,,,1,IMG_1163,,,,37,0.007484515,7484.515145,0.310931033,,,5,0.00535,0.535,,,,,,,,,,,,,,,,,,,,
